ID	composer	title	description
1030491	Mi Trầm	Thân lúa miến - Mi Trầm; THÂN LÚA MIẾN	
1022581	"for Piano
arranged by: Rolf Boomgaarden"	Your song*; Your song* - Log Horizon Ending - Full Ver.	
1022746	Carcassi	Allegretto; Allegretto Key of C Major	From the book Carcassi Classical Guitar Method page 21
1022231		Hymn 136; Hymn 136(Old Hundredth)	"ALL people that on earth do dwell (Old Hundredth)
"
102715	Brandon Liu and Braden Shimp	Theme Movement #2 New World Symphony Version 2; Theme Movement #2 New World Symphony	For Science Olympiad 2013
1023376	mib	y viva españa	
102049	"Music by
Andrew Lloyd Webber; 
Andrew Lloyd Webber"	All I Ask of You-Phantom Of the Opera; All I Ask of You	
103215	Giacomo Puccini	Nessun dorma; Nessun dorma for ConVita alt/tenor	
103017	Martin	Main Theme	This is my first composition on MuseScore
1012966	arr by Yusuke Nakashima	Dragon Night; dragon night 	あかぺらーず　がんばろ
102139		Fifth period Compositon.. ; Trying pt2..	
1026396	Arr. by Andric McNabb; Arr. by Andric mcANbb	Sugar; Sugar Low Version	
102127	3	Metallica - Nothing Else Matters; Nothing Else Matters	I arranged this in Sibelius for string quartet. Imported into musescore and this is what it is. Enjoy.
103370		103370; Lullaby	
100391		No. 27 I Believe In You	
1020011		Be Still, My Soul	
101372	Alfred H. Ackley	3. Slujesc pe Salvatorul: E viu!	
100812	Thomas Duell	Nightmare Moon's Return	Moar pony music.
103256	B. Howard	Fly me to the moon (4/4) sax; Fly me to the moon 4/4	"Alto Sax. 
The corresponding Piano scores are also uploaded (JThorsson)"
1018326	Kailas Rajan	"First Song
; First Song"	stuff
103515	Arranged by KHALIL STEWART	Trouble/ As Long as You Love Me/ Wide Awake	
102833	Carly Neumann	What Makes You Beautiful	
101165		Russian Folk Song; Russian Folk Song W/Lyrics	
102734		Composition Project	
1023996		Muotataler Mazurka; Muotathaler Mazurka	
1032856	Jean-Philippe Rameau	6e Concert; Rameau: 6e Concert - 1. La Poule 	"Jean-Philippe Rameau (25 September 1683 – 12 September 1764)
6e Concert First Movement ""La Poule""
Baroque Chamber Music
http://imslp.org/wiki/6_Concerts_Transcrits_en_Sextuor_%28Rameau,_Jean-Philippe%29"
102421	B. Britten	Sally Gardens	"For voice and piano by Benjamin Britten

Lyrics are easily available on the internet (by W.B. Yeats)"
102784	D. Montero	EL FA	Pràctica de la nota FA
101910	Marc Sabatella	Reunion	
101568	Julian Maraboto	Gallo	
101555	A. Borodin	Slava Kirillu i Mefodiiu	
100440		Pirates of the carrbeans s; Pirates of the Carrbeans 2 parts	my own idea of the fulte
101659	Josh Tilson	XtraordinarY; Cavaliers 2011 XtraordinarY Baritone Opener	
1004766	arr. Jameson Nizo	キカイダ; Kikaida Theme Song	don't know the original composer
101364		Escala dodecafónica, ejercicios.; Escala dodecafónica	
103143	Bart Howard	Fly me to the moon; Fly me to the Moon Fmaj/Dmin	
1001106	"Kenichi Nishimaki, Shiho Fujii, Atsuko Asashi, Ryo Nagamatsu, Yasuaki Iwata, Soyo Oka, Taro Bando, Asuka Hayazaki, Takeshi Hama, Mahito Yokota, Koji Kondo, Shinobi Tanaka, Ichiro Shimakura, Asuka Ota, Hajime Wakai, Kazumi Totaka, Toru Minegishi; Original Aritsts/Composers:
Asuka Hayazaki, Asuka Ota,
Atsuko Asashi, Hajime Wakai,
Ichiro Shimakura, Kazumi Totaka,
Kenichi Nishimaki, Koji Kondo,
Mahito Yokota, Ryo Nagamatsu,
Shiho Fujii, Shinobi Tanaka,
Soyo Oka, Takeshi Hama,
Taro Bando, Toru Minegishi,
Yasuaki Iwata

Arranger:
Scott Murray (a.k.a. Mott Scurry)"	Ghost House Medley; Ghost House Medley (Sneak Peak Preview)(UPDATE 2)	Here is a new medley I'm working on. Tell me how you like it so far...
1033671	Yasuharu Takanashi	Fairy Tail Theme; Fairy Tail Theme 2.0	"I fell in love with this theme and HAD to make an arrangement, enjoy!
UPDATE: I've recreated the theme in Musescore 2.0! 
12/11/15 : Replaced the flute with a recorder, sounded much more like the original!"
1029666	John Lennon	Imagine by John Lennon; Imagine	An arrangement of a guitar and piano accompanying the voice.
1023176	arr. Ginger from Ginger and Idiut	Bundle of Joy; Bundle of Joy (Inside Out Theme) for Concert Band	"Hello there viewer,
It's been a while since I've put something on this account, and for that I apologize, but I will hopefully be creating more content soon over the summer. 
I recently saw the new Disney Pixar movie, Inside Out, and I really liked it. It easily became one of my favorite Pixar movies, and so I figured, what better way to plat homage to such an incredible film that to arrange it's main theme. So I did. 
Thanks everyone for commenting, following, and favorite-ing. It makes me smile to see people enjoy these thing I put so much work into.
See you again soon,
The Ginger

All respective rights to this song belong to Disney, Pixar, and the composer, Michael Giacchino. Please don't sue me. "
100462		Erin Taylor Nemivant Name in Song; Erin Taylor Nicole	
1018926	Anonimo	O leggiadri occhi belli; Anonimo - O leggiadri occhi belli - b minor	"Arietta  by an unknown composer.

This ancient italian arietta has been transposed in severeal tonalities in order to present a choice for any voice and to allow interesting technical studies with a pianist or harpsichord player who are given here a maximum of comfort because they do not have to transpose by sight. It's surely possible to find these ariettas in several tonalities, but they haven't been edited in so many moods as in this collection, going from very high to very deep voices. Besides the fact, that it may be possible, by this way, to discover the best tune for any type of voice, this collection also allows technical trips towards the boundaries of any singer's high and/or low limits.

Here are the chosen tonalities for this arietta (from high to low voice):

g minor: https://musescore.com/user/162478/scores/186382
f# minor: https://musescore.com/user/162478/scores/186384
f minor: https://musescore.com/user/162478/scores/186386
e minor: https://musescore.com/user/162478/scores/186387
d minor: https://musescore.com/user/162478/scores/186388
c minor: https://musescore.com/user/162478/scores/186389
b minor: https://musescore.com/user/162478/scores/1018926
a minor: https://musescore.com/user/162478/scores/1018921"
1014551		Change The World	
1028901		1028901; gothic 1 old camp kai rosenkranz	
1013111	Anthony Windau	Pink Sparkly Unicorns	An original trumpet quartet composition. Medium to advanced level due to range, duration. 3 trumpets, 1 Flugelhorn (optional trumpet)
5051044		White Joak	"Rhythm: jig
Key: Dmaj
Note Length: 1/8
Meter: 6/8
"
1013386	"Music by Adolphe Adam wrote version ""Cantique de Noel"" in 1847; 
John Sullivan Dwight wrote version ""O Holy Night"" in 1855       "	"Oh Holy Night  6.28.15 @ 8:24pm   
Origins in France, 1847; Oh Holy Night  6.28.15 @ 8:24pm   Origins in France, 1847"	
1035076	Rob Goorhuis 	The Mountain Meadow; The Mountain Meadow 	
1021031		Asa ga mata kuru; 朝はまた来る	ReMix
1026176	Johann Pachelbel	Canon de Pachelbel	Transcription du canon de Pachelbel pour flûtes à bec, Flûtes ou tout autre instruments.
1013576	Compateur	Douce soirée; Douce soirée 	
1014971	"J . M



"	"P o p S o n g s 

 ARE U KINDA   , WTF , BLACK COP  INSIDE me ! ; Kinda HARD, THE BlackCOPInside me, WTF, Ghosts in Her ."	POP  SONGS . Crock CHANSONS DAT ROCK !
100357		Lamb of God, Pure and Holy - Praelude for Four Flutes; Lamb of God Pure and Holy	"More Sacred Music - 
Tune: Nicolaus Decius 
Text: Nicolaus Decius:
Arrangemed for four flutes by Daniel Lantz (Tangerine Cooler)
Lamb of God, pure and holy, Who on the cross didst suffer, 
Ever patient and lowly, Thyself to scorn didst offer. 
All sins Thou borest for us, Else had despair reigned o'er us: 
Have mercy on us, O Jesus! O Jesus!"
1030701	"; Zulu Song Afrika
satz:Doreen Rao; 446 - 1; Zulu Song Afrika
satz:Doreen Rao"	Siyahamba ; 446-1 Siyahamba TTBB	
103475		Some Nights	
1026986	 Choral Arrangement by Donald A. Mills                        Words Unknown	"Greensleeves 
Work In Progress    
7.5.15    
1:09am     ; Greensleeves Work In Progress    7.5.15    1:09am     "	
1031586		LOVE YOU ONLY	
1022016	Megan McKeith	Over the Garden Wall Medley	Not complete yet, composed for wind quartet and soon to be wind quintet.
1028001	A.Corelli (1653-1713)	"4 - Concerto Grosso - Op.6 nr.8 - Vivace; CONCERTO GROSSO
""Christmas Concerto"" Op. 6 No. 8
Vivace"	
1014996		Bagatelle No.44 in C major ; Bagatelle in C major	"About character:
http://www.hinemos.info/hinemos/character"
1013021		Amazing Grace -Flute - Alternate keys; Amazing Grace	
100729		III 12B	
102841		A time for us	version_baritono
101935	P.P.Bliss	Godsvertrouwen	
1033281	Phill Collins	You´ll be in my heart; You´ll Be in My Heart	
